requirement_id,category,requirement,priority,owning_phases,planned_source,planned_tests,planned_docs,evidence,status,notes
NR-024,nextranger,Regex safety — Review complexity and denial-of-service potential.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-025,nextranger,Complexity budgets — Use SonarJS and refactor high-complexity owners.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-026,nextranger,Security lint findings block — Use security plugin with reviewed exceptions only.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-027,nextranger,React hooks correctness — Enforce rules and compiler-compatible patterns.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-028,nextranger,Accessibility lint — Use jsx-a11y and runtime checks.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-029,nextranger,Playwright lint — Prevent brittle or skipped E2E tests.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,PARTIAL,Playwright lint plugin not wired; single stable e2e spec reviewed manually
NR-030,nextranger,Testing Library lint — Enforce user-centric tests.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,PARTIAL,Testing-library lint plugin not wired; suites follow user-centric patterns
NR-031,nextranger,TanStack Query lint — Enforce stable query usage if Query is adopted.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,DECIDED,NOT APPLICABLE: TanStack Query not adopted (documented adaptation)
NR-032,nextranger,Dead-code detection — Use Knip or equivalent.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,PARTIAL,Knip not wired; noUnusedLocals + review cover the small codebase (backlog)
NR-033,nextranger,Circular dependency detection — Use Madge or equivalent.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,PARTIAL,Madge not wired (backlog); flat import graph reviewed
NR-034,nextranger,Formatting — Use Prettier with CI check.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-035,nextranger,Conventional commits — Use commitlint.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,PARTIAL,"Conventional commit style used; commitlint tooling deferred (solo repo, documented deviation)"
NR-036,nextranger,Pre-commit hooks — Run targeted fast checks.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,PARTIAL,Husky pre-commit deferred; CI enforces all gates (documented deviation)
NR-037,nextranger,Pre-push hooks — Run broader validation without making local development unusable.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,PARTIAL,Pre-push hooks deferred; CI enforces all gates (documented deviation)
NR-038,nextranger,Dependency audit — Run npm audit and compatibility review.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-039,nextranger,Secret scan — Run Gitleaks/Trivy against worktree and history.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,Gitleaks unavailable; Trivy secret scanner used (0 findings)
NR-040,nextranger,"Misconfiguration scan — Scan repository, Docker, CI, Firebase, and Android files.",mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-041,nextranger,License review — Inventory licenses and unacceptable restrictions.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,PARTIAL,License inventory not automated; all deps MIT/Apache-family (spot-checked)
NR-042,nextranger,Bundle budgets — Set and enforce web/native asset size budgets.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,PARTIAL,chunkSizeWarningLimit budget in vite config; formal budget automation backlog
NR-043,nextranger,Source-map policy — Define private/public source-map handling.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,Sourcemaps generated for private debugging; not referenced publicly
NR-044,nextranger,CSP adaptation — Apply hosting CSP where feasible and WebView navigation restrictions natively.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-045,nextranger,WebView navigation restrictions — Block arbitrary origins and unsafe schemes.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-046,nextranger,Native permission minimization — Request only necessary Android/iOS permissions.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
NR-047,nextranger,Safe external URL handling — Allow-list schemes/hosts and use platform wrappers.,mandatory,02|05|06,eslint.config.js tsconfig.app.json src/ structure + services/platform wrappers,npm run lint (max-warnings 0) + typecheck,audit/nextranger-rule-inventory.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-001,feature,Authentication and session lifecycle,mandatory,03|04|05|08|09|10|12,"src/services/localServices.ts src/services/firebaseServices.ts src/pages/{Login,Register,ForgotPassword}Page.tsx",tests/services/localServices.test.ts tests/e2e/smoke.spec.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-002,feature,Registration and account verification,mandatory,03|04|05|08|09|10|12,"src/services/localServices.ts src/services/firebaseServices.ts src/pages/{Login,Register,ForgotPassword}Page.tsx",tests/services/localServices.test.ts tests/e2e/smoke.spec.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-003,feature,Password reset and recovery,mandatory,03|04|05|08|09|10|12,"src/services/localServices.ts src/services/firebaseServices.ts src/pages/{Login,Register,ForgotPassword}Page.tsx",tests/services/localServices.test.ts tests/e2e/smoke.spec.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-004,feature,Onboarding and first-run experience,mandatory,03|04|05|08|09|10|12,src/state/deviceConfig.ts src/state/AppContext.tsx src/pages/SettingsPage.tsx,tests/state/deviceConfig.test.ts (planned) + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-005,feature,Profile and preferences,mandatory,03|04|05|08|09|10|12,src/state/deviceConfig.ts src/state/AppContext.tsx src/pages/SettingsPage.tsx,tests/state/deviceConfig.test.ts (planned) + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-006,feature,Runtime language switching,mandatory,03|04|05|08|09|10|12,src/state/deviceConfig.ts src/state/AppContext.tsx src/pages/SettingsPage.tsx,tests/state/deviceConfig.test.ts (planned) + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-007,feature,Runtime currency switching,mandatory,03|04|05|08|09|10|12,src/state/deviceConfig.ts src/state/AppContext.tsx src/pages/SettingsPage.tsx,tests/state/deviceConfig.test.ts (planned) + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-008,feature,Theme and system appearance,mandatory,03|04|05|08|09|10|12,src/state/deviceConfig.ts src/state/AppContext.tsx src/pages/SettingsPage.tsx,tests/state/deviceConfig.test.ts (planned) + e2e,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-009,feature,Private bucket creation,mandatory,03|04|05|08|09|10|12,src/lib/bucket.ts src/pages/BucketEditorPage.tsx src/pages/BucketsPage.tsx src/services/*,tests/domain/bucket.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-010,feature,Private bucket editing,mandatory,03|04|05|08|09|10|12,src/lib/bucket.ts src/pages/BucketEditorPage.tsx src/pages/BucketsPage.tsx src/services/*,tests/domain/bucket.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-011,feature,Private bucket deletion,mandatory,03|04|05|08|09|10|12,src/lib/bucket.ts src/pages/BucketEditorPage.tsx src/pages/BucketsPage.tsx src/services/*,tests/domain/bucket.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-012,feature,Bucket duplication and templates,mandatory,03|04|05|08|09|10|12,src/lib/bucket.ts src/pages/BucketEditorPage.tsx src/pages/BucketsPage.tsx src/services/*,tests/domain/bucket.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-013,feature,Bucket item creation,mandatory,03|04|05|08|09|10|12,src/lib/bucket.ts src/pages/BucketEditorPage.tsx src/pages/BucketsPage.tsx src/services/*,tests/domain/bucket.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-014,feature,Bucket item editing,mandatory,03|04|05|08|09|10|12,src/lib/bucket.ts src/pages/BucketEditorPage.tsx src/pages/BucketsPage.tsx src/services/*,tests/domain/bucket.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-015,feature,Bucket item deletion,mandatory,03|04|05|08|09|10|12,src/lib/bucket.ts src/pages/BucketEditorPage.tsx src/pages/BucketsPage.tsx src/services/*,tests/domain/bucket.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-016,feature,Item availability and ordering,mandatory,03|04|05|08|09|10|12,src/lib/bucket.ts src/pages/BucketEditorPage.tsx src/pages/BucketsPage.tsx src/services/*,tests/domain/bucket.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-017,feature,Item pricing and currency,mandatory,03|04|05|08|09|10|12,src/lib/bucket.ts src/pages/BucketEditorPage.tsx src/pages/BucketsPage.tsx src/services/*,tests/domain/bucket.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-018,feature,Bucket search,mandatory,03|04|05|08|09|10|12,src/lib/bucket.ts src/pages/BucketEditorPage.tsx src/pages/BucketsPage.tsx src/services/*,tests/domain/bucket.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-019,feature,Bucket filtering,mandatory,03|04|05|08|09|10|12,src/lib/bucket.ts src/pages/BucketEditorPage.tsx src/pages/BucketsPage.tsx src/services/*,tests/domain/bucket.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-020,feature,Bucket sorting,mandatory,03|04|05|08|09|10|12,src/lib/bucket.ts src/pages/BucketEditorPage.tsx src/pages/BucketsPage.tsx src/services/*,tests/domain/bucket.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-021,feature,Order composition,mandatory,03|04|05|08|09|10|12,"src/lib/order.ts src/pages/{CreateOrder,Orders,OrderDetails}Page.tsx",tests/domain/order.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-022,feature,Draft orders,mandatory,03|04|05|08|09|10|12,"src/lib/order.ts src/pages/{CreateOrder,Orders,OrderDetails}Page.tsx",tests/domain/order.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-023,feature,Order placement,mandatory,03|04|05|08|09|10|12,"src/lib/order.ts src/pages/{CreateOrder,Orders,OrderDetails}Page.tsx",tests/domain/order.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-024,feature,Order cancellation,mandatory,03|04|05|08|09|10|12,"src/lib/order.ts src/pages/{CreateOrder,Orders,OrderDetails}Page.tsx",tests/domain/order.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-025,feature,Order completion,mandatory,03|04|05|08|09|10|12,"src/lib/order.ts src/pages/{CreateOrder,Orders,OrderDetails}Page.tsx",tests/domain/order.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-026,feature,Order deletion,mandatory,03|04|05|08|09|10|12,"src/lib/order.ts src/pages/{CreateOrder,Orders,OrderDetails}Page.tsx",tests/domain/order.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-027,feature,Order detail snapshots,mandatory,03|04|05|08|09|10|12,"src/lib/order.ts src/pages/{CreateOrder,Orders,OrderDetails}Page.tsx",tests/domain/order.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-028,feature,Order history,mandatory,03|04|05|08|09|10|12,"src/lib/order.ts src/pages/{CreateOrder,Orders,OrderDetails}Page.tsx",tests/domain/order.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
FEAT-029,feature,Repeat order,mandatory,03|04|05|08|09|10|12,"src/lib/order.ts src/pages/{CreateOrder,Orders,OrderDetails}Page.tsx",tests/domain/order.test.ts tests/services/localServices.test.ts,product/feature-backlog.md,see reports/phases + audit/evidence-ledger.csv,VERIFIED,
